	Дата	Единиц	Курс	 
	13.09.2022	1	61.3127	 
	10.09.2022	1	60.8571	 
	9.09.2022	1	60.6952	 
	8.09.2022	1	60.5458	 
	7.09.2022	1	60.4929	 
	6.09.2022	1	60.1408	 
	3.09.2022	1	60.2187	 
	2.09.2022	1	60.2842	 
	1.09.2022	1	60.2141	 
	31.08.2022	1	60.5752	 
	30.08.2022	1	59.9608	 
	27.08.2022	1	59.8784	 
	26.08.2022	1	59.5983	 
	25.08.2022	1	59.5082	 
	24.08.2022	1	59.3304	 
	23.08.2022	1	59.5344	 
	20.08.2022	1	59.3934	 
	19.08.2022	1	60.8957	 
	18.08.2022	1	61.8322	 
	17.08.2022	1	62.3551	 
	16.08.2022	1	62.5056	 
	13.08.2022	1	62.5355	 
	12.08.2022	1	62.5156	 
	11.08.2022	1	61.7040	 
	10.08.2022	1	61.5542	 
	9.08.2022	1	61.1615	 
	6.08.2022	1	61.3610	 
	5.08.2022	1	61.0872	 
	4.08.2022	1	61.1243	 
	3.08.2022	1	61.2656	 
	2.08.2022	1	63.2468	 
	30.07.2022	1	62.5695	 
	29.07.2022	1	61.2171	 
	28.07.2022	1	61.0032	 
	27.07.2022	1	59.4068	 
	26.07.2022	1	58.6741	 
	23.07.2022	1	57.7608	 
	22.07.2022	1	57.1133	 
	21.07.2022	1	55.8260	 
	20.07.2022	1	56.4463	 
	19.07.2022	1	57.1526	 
	16.07.2022	1	57.8851	 
	15.07.2022	1	58.3432	 
	14.07.2022	1	58.9002	 
	13.07.2022	1	58.7643	 
	12.07.2022	1	61.8056	 
	9.07.2022	1	62.0499	 
	8.07.2022	1	64.1349	 
	7.07.2022	1	64.3260	 
	6.07.2022	1	60.1618	 
	5.07.2022	1	57.1836	 
	2.07.2022	1	56.3584	 
	1.07.2022	1	54.6405	 
	30.06.2022	1	53.8580	 
	29.06.2022	1	55.8886	 
	28.06.2022	1	56.0535	 
	25.06.2022	1	55.9640	 
	24.06.2022	1	55.9886	 
	23.06.2022	1	55.8307	 
	22.06.2022	1	57.4566	 
	21.06.2022	1	58.8003	 
	18.06.2022	1	59.3299	 
	17.06.2022	1	58.9568	 
	16.06.2022	1	59.1204	 
	15.06.2022	1	59.2481	 
	11.06.2022	1	60.9656	 
	10.06.2022	1	62.0934	 
	9.06.2022	1	63.9380	 
	8.06.2022	1	64.5699	 
	7.06.2022	1	64.8669	 
	4.06.2022	1	65.9191	 
	3.06.2022	1	64.9053	 
	1.06.2022	1	62.7397	 
	31.05.2022	1	64.7170	 
	28.05.2022	1	69.4353	 
	27.05.2022	1	64.4392	 
	26.05.2022	1	57.9210	 
	25.05.2022	1	58.8705	 
	24.05.2022	1	60.3851	 
	21.05.2022	1	60.8953	 
	20.05.2022	1	64.9358	 
	19.05.2022	1	66.6135	 
	18.05.2022	1	66.3644	 
	17.05.2022	1	65.8166	 
	14.05.2022	1	65.7939	 
	13.05.2022	1	68.7835	 
	12.05.2022	1	72.6314	 
	7.05.2022	1	71.0963	 
	6.05.2022	1	70.0662	 
	5.05.2022	1	72.7815	 
	30.04.2022	1	74.5589	 
	29.04.2022	1	75.3117	 
	28.04.2022	1	75.9224	 
	27.04.2022	1	76.6670	 
	26.04.2022	1	77.4651	 
	23.04.2022	1	80.0249	 
	22.04.2022	1	81.2239	 
	21.04.2022	1	83.2705	 
	20.04.2022	1	85.9674	 
	19.04.2022	1	86.4289	 
	16.04.2022	1	87.0715	 
	15.04.2022	1	88.0024	 
	14.04.2022	1	86.7219	 
	13.04.2022	1	86.7939	 
	12.04.2022	1	85.9752	 
	9.04.2022	1	81.7064	 
	8.04.2022	1	83.2930	 
	7.04.2022	1	90.5998	 
	6.04.2022	1	91.7289	 
	5.04.2022	1	92.3872	 
	2.04.2022	1	92.1468	 
	1.04.2022	1	92.4930	 
	31.03.2022	1	93.6960	 
	30.03.2022	1	96.0085	 
	29.03.2022	1	102.6714	 
	26.03.2022	1	105.2662	 
	25.03.2022	1	105.4679	 
	24.03.2022	1	113.2613	 
	23.03.2022	1	114.7833	 
	22.03.2022	1	115.6002	 
	19.03.2022	1	114.3996	 
	18.03.2022	1	115.9311	 
